測站代碼 測站名稱 震度值 震央距(Km) 垂直向(gal) 南北向(gal) 東西向(gal) TWD97經度 TWD97緯度
HWA050 北昌國小 5 79.64 53.18 91.64 90.14 121.59 23.99
EHC 和中 5 103.96 40.67 86.61 119.63 121.74 24.27
HWA022 和中 5 103.96 39.36 80.28 119.16 121.74 24.27
HWA045 和平國小 5 106.82 70.88 185.84 122.56 121.75 24.31
HWA046 富世國小 5 88.30 48.16 83.98 74.12 121.63 24.15
HWA053 太平國小 4 70.71 23.37 27.20 .00 121.32 23.41
HWA 花蓮氣象站 5 81.57 47.80 132.18 129.14 121.61 23.98
HWA 花蓮氣象站 5 81.57 47.44 133.20 126.86 121.61 23.98
HWA 花蓮氣象站 5 81.57 42.59 108.14 119.15 121.61 23.98
HWA007 花蓮高中 5 83.09 29.96 84.22 64.36 121.63 23.99
HWA009 花師附小 5 82.91 38.88 100.66 84.46 121.62 23.99
HWA011 明廉國小 5 80.12 36.78 97.26 86.86 121.59 24.00
HWA012 明恥國小 4 83.72 36.42 64.36 79.80 121.63 23.99
HWA013 忠孝國小 5 80.07 61.26 111.26 139.78 121.60 23.98
HWA014 信義國小 5 80.79 39.24 88.64 101.62 121.61 23.97
HWA019 花蓮氣象站 5 81.57 46.90 132.60 126.44 121.61 23.98
HWA048 國福國小 5 78.97 52.58 166.22 122.02 121.58 24.01
HWA023 秀林 4 83.45 27.94 37.32 38.10 121.60 24.08
ESL 西林國小 4 63.05 56.46 72.26 66.51 121.44 23.81
HWA020 西林國小 4 63.05 52.46 66.64 56.64 121.44 23.81
HWA051 月眉國小 5 74.68 50.18 149.30 165.20 121.56 23.87
HWA002 豐濱國小 5 76.32 32.24 89.24 50.48 121.52 23.60
HWA003 豐濱鄉衛生所 5 76.19 51.62 134.82 48.50 121.52 23.60
TCU078 水里國小 7 5.53 171.00 302.48 439.70 120.86 23.81
WNT 新街國小 7 13.66 311.04 602.45 921.14 120.69 23.88
TCU076 南投國小 7 15.53 275.38 420.02 340.10 120.68 23.91
TCU074 南光國小 7 19.30 270.18 368.40 585.94 120.97 23.96
TCU071 雙冬國小 7 15.07 415.54 639.00 517.82 120.80 23.98
TCU075 草屯國小 6 20.06 223.88 257.32 325.34 120.69 23.98
TCU072 國姓國小 7 21.46 274.66 370.50 465.30 120.85 24.04
SML 日月潭氣象站 7 9.23 318.69 381.38 955.60 120.91 23.88
TCU079 頭社國小 7 8.14 383.82 416.96 579.78 120.90 23.84
TCU084 日月潭氣象站 7 9.23 311.76 422.82 989.22 120.91 23.88
KAU048 惠農國小 4 129.15 11.54 28.66 38.28 120.50 22.72
SGL 惠農國小 4 129.15 8.61 30.15 34.93 120.50 22.72
SSD 賽嘉國小 3 123.97 16.27 24.40 18.66 120.64 22.74
KAU030 內埔國小 4 139.90 12.38 33.26 37.86 120.57 22.61
KAU040 牡丹國小旭海分校 2 184.04 6.31 7.64 7.81 120.88 22.19
KAU039 溫泉國小 3 194.67 6.58 9.98 10.64 120.75 22.09
KAU034 古樓國小 3 147.81 8.66 8.69 8.72 120.63 22.53
KAU037 枋山國小 4 176.92 9.86 25.18 17.64 120.65 22.26
KAU038 楓港國小 3 184.39 5.74 9.52 8.74 120.69 22.19
KAU033 以栗國小 4 158.13 8.20 18.48 26.80 120.46 22.46
KAU044 仁和國小 4 159.82 10.52 37.74 35.76 120.51 22.44
KAU022 屏師附小 4 135.08 13.16 59.16 31.28 120.50 22.67
HEN 恆春氣象站 3 204.67 9.09 24.88 22.01 120.75 22.00
KAU043 墾丁國小鵝鑾分校 3 214.59 9.68 14.84 16.04 120.85 21.91
KAU046 恆春氣象站 3 204.67 7.96 22.56 22.20 120.75 22.00
KAU052 恒春１ 3 211.22 4.84 7.48 10.40 120.81 21.94
KAU082 水泉國小 3 211.70 8.74 19.44 16.86 120.73 21.94
KAU051 春日國小 3 165.22 6.58 8.38 9.16 120.63 22.37
KAU032 仙吉國小 4 149.40 9.28 28.48 38.40 120.46 22.54
KAU042 滿州國小 3 202.71 5.98 10.58 10.64 120.84 22.02
NSY 建中國小 5 62.64 84.70 115.80 118.67 120.77 24.41
NSY 建中國小 5 62.64 84.70 115.80 118.67 120.77 24.41
TCU047 大河國小 6 85.80 261.04 399.38 291.66 120.95 24.62
TCU087 鯉魚潭 5 55.07 91.10 111.50 119.16 120.77 24.35
TCU046 福德國小 5 68.26 96.78 116.34 139.54 120.86 24.47
TCU033 竹南國小 5 92.37 73.04 181.48 154.50 120.87 24.68
TCU029 西湖國小 5 78.53 62.20 194.40 154.68 120.76 24.56
NST 田美國小 6 88.22 90.62 391.31 305.45 121.01 24.63
TCU035 後龍國小 5 84.61 59.64 113.88 116.10 120.80 24.61
TCU042 大同國小 5 77.85 81.94 207.98 247.52 120.81 24.55
TCU040 苑裡國小 5 68.37 79.02 121.90 158.86 120.65 24.45
TCU031 啟明國小 5 79.34 65.26 122.56 112.52 120.71 24.56
TCU036 坪頂國小 5 67.09 60.90 122.32 134.22 120.71 24.45
TCU038 通霄電廠 5 72.63 65.86 142.66 142.30 120.67 24.49
TCU034 造橋國小 5 87.32 70.28 103.12 247.94 120.87 24.64
TCU045 獅潭國小 7 76.96 353.08 511.72 463.32 120.92 24.54
TCU039 銅鑼國小 5 70.90 121.96 136.08 193.38 120.79 24.49
TCU011 大溪國小 4 123.72 28.66 69.56 63.58 121.29 24.88
NCU 中央大學 5 129.25 34.93 99.05 79.91 121.19 24.97
